prof.norm
10.81s of 11.26s total (96.00%)
Dropped 64 nodes (cum <= 0.06s)
      flat  flat%   sum%        cum   cum%
         0     0%   100%      0.14s  7.82%  runtime.notewakeup
         0     0%   100%      0.01s  0.56%  runtime.osyield
         0     0%   100%      0.05s  2.79%  runtime.park_m
         0     0%   100%      0.01s  0.56%  runtime.profilealloc
         0     0%   100%      0.01s  0.56%  runtime.resetspinning
         0     0%   100%      0.01s  0.56%  runtime.runSafePointFn
         0     0%   100%      0.03s  1.68%  runtime.scang
         0     0%   100%      0.07s  3.91%  runtime.schedule
         0     0%   100%      0.03s  1.68%  runtime.semasleep
         0     0%   100%      0.06s  3.35%  runtime.semasleep.func1
         0     0%   100%      0.06s  3.35%  runtime.semasleep1
         0     0%   100%      0.14s  7.82%  runtime.semawakeup
         0     0%   100%      0.11s  6.15%  runtime.startTheWorldWithSema
         0     0%   100%      0.12s  6.70%  runtime.startm
         0     0%   100%      0.04s  2.23%  runtime.stopm
         0     0%   100%      0.12s  6.70%  runtime.wakep

prof.fixed2
980ms of 980ms total (  100%)
      flat  flat%   sum%        cum   cum%
     130ms 13.27% 13.27%      130ms 13.27%  runtime/internal/atomic.Cas64
     100ms 10.20% 23.47%      100ms 10.20%  sync/atomic.AddUint64
      80ms  8.16% 31.63%       80ms  8.16%  runtime.duffcopy
      80ms  8.16% 39.80%      160ms 16.33%  runtime.lock
      70ms  7.14% 46.94%      220ms 22.45%  runtime.chanrecv
      70ms  7.14% 54.08%      160ms 16.33%  runtime.unlock
      60ms  6.12% 60.20%       60ms  6.12%  runtime.usleep
      50ms  5.10% 65.31%       50ms  5.10%  bytes.(*Buffer).grow
      50ms  5.10% 70.41%      270ms 27.55%  runtime.selectnbrecv
      40ms  4.08% 74.49%      270ms 27.55%  runtime.chansend
      30ms  3.06% 77.55%       80ms  8.16%  bytes.(*Buffer).WriteString
      30ms  3.06% 80.61%      410ms 41.84%  github.com/jdamick/go-pools/buffers2.(*FixedBufferPool).Put
      20ms  2.04% 82.65%       40ms  4.08%  bytes.(*Buffer).Reset
      20ms  2.04% 84.69%       20ms  2.04%  bytes.(*Buffer).Truncate
      20ms  2.04% 86.73%      340ms 34.69%  github.com/jdamick/go-pools/buffers2.(*FixedBufferPool).Get
      20ms  2.04% 88.78%       20ms  2.04%  runtime.memmove
      20ms  2.04% 90.82%       50ms  5.10%  runtime.typedmemmove
      20ms  2.04% 92.86%       20ms  2.04%  runtime/internal/atomic.Load64
      20ms  2.04% 94.90%       20ms  2.04%  runtime/internal/atomic.Loaduintptr
      10ms  1.02% 95.92%      840ms 85.71%  main.fixedPoolsBuffs2
      10ms  1.02% 96.94%       10ms  1.02%  runtime.(*waitq).dequeue
      10ms  1.02% 97.96%      290ms 29.59%  runtime.chansend1
      10ms  1.02% 98.98%       10ms  1.02%  runtime.getcallerpc
      10ms  1.02%   100%       10ms  1.02%  runtime.heapBitsBulkBarrier
         0     0%   100%      840ms 85.71%  main.main
         0     0%   100%      840ms 85.71%  runtime.goexit
         0     0%   100%      840ms 85.71%  runtime.main
         0     0%   100%       80ms  8.16%  runtime.morestack
         0     0%   100%       60ms  6.12%  runtime.mstart
         0     0%   100%       60ms  6.12%  runtime.mstart1
         0     0%   100%       80ms  8.16%  runtime.newstack
         0     0%   100%       60ms  6.12%  runtime.sysmon
